1120210715229282,CRUDEOIL 21 Jul 15 4700 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4700CE,11,20,229282,CRUDEOIL
1120210715229283,CRUDEOIL 21 Jul 15 4700 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4700PE,11,20,229283,CRUDEOIL
1120210715229284,CRUDEOIL 21 Jul 15 4750 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4750CE,11,20,229284,CRUDEOIL
1120210715229285,CRUDEOIL 21 Jul 15 4750 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4750PE,11,20,229285,CRUDEOIL
1120210715229286,CRUDEOIL 21 Jul 15 4800 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4800CE,11,20,229286,CRUDEOIL
1120210715229287,CRUDEOIL 21 Jul 15 4800 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4800PE,11,20,229287,CRUDEOIL
1120210715229288,CRUDEOIL 21 Jul 15 4850 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4850CE,11,20,229288,CRUDEOIL
1120210715229289,CRUDEOIL 21 Jul 15 4850 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4850PE,11,20,229289,CRUDEOIL
1120210715229290,CRUDEOIL 21 Jul 15 4900 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4900CE,11,20,229290,CRUDEOIL
1120210715229291,CRUDEOIL 21 Jul 15 4900 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4900PE,11,20,229291,CRUDEOIL
1120210715229292,CRUDEOIL 21 Jul 15 4950 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4950CE,11,20,229292,CRUDEOIL
1120210715229293,CRUDEOIL 21 Jul 15 4950 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL4950PE,11,20,229293,CRUDEOIL
1120210715229294,CRUDEOIL 21 Jul 15 5000 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5000CE,11,20,229294,CRUDEOIL
1120210715229295,CRUDEOIL 21 Jul 15 5000 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5000PE,11,20,229295,CRUDEOIL
