101000000010243,SYNGENE INTERNATIONAL LTD,0,1,0.05,INE398R01022,0915-1530|1815-1915:17,2021-07-13,,NSE:SYNGENE-EQ,10,10,10243,SYNGENE
101000000010253,EMKAY TAP & CUT. TOOL LTD,0,1,0.05,INE332S01011,0915-1530|1815-1915:17,2021-07-13,,NSE:EMKAYTOOLS-SM,10,10,10253,EMKAYTOOLS
101000000010276,KAYA LIMITED,0,1,0.05,INE587G01015,0915-1530|1815-1915:17,2021-07-13,,NSE:KAYA-EQ,10,10,10276,KAYA
101000000010285,AYM SYNTEX LIMITED,0,1,0.05,INE193B01039,0915-1530|1815-1915:17,2021-07-13,,NSE:AYMSYNTEX-EQ,10,10,10285,AYMSYNTEX
101000000010297,PRAKASH PIPES LIMITED,0,1,0.05,INE050001010,0915-1530|1815-1915:17,2021-07-13,,NSE:PPL-EQ,10,10,10297,PPL
101000000010300,RAMA STEEL TUBES LIMITED,0,1,0.05,INE230R01027,0915-1530|1815-1915:17,2021-07-13,,NSE:RAMASTEEL-EQ,10,10,10300,RAMASTEEL
101000000010310,MAJESCO LIMITED,0,1,0.05,INE898S01029,0915-1530|1815-1915:17,2021-07-13,,NSE:MAJESCO-EQ,10,10,10310,MAJESCO
101000000010318,THE P K TEA PROD CO LTD,0,1,0.05,INE431F01018,0915-1530|1815-1915:17,2021-07-13,,NSE:PKTEA-BE,10,10,10318,PKTEA
101000000010358,DIGICONTENT LIMITED,0,1,0.05,INE03JI01017,0915-1530|1815-1915:17,2021-07-13,,NSE:DGCONTENT-BE,10,10,10358,DGCONTENT
10100000001036,AARON INDUSTRIES LIMITED,0,1,0.05,INE721Z01010,0915-1530|1815-1915:17,2021-07-13,,NSE:AARON-BE,10,10,1036,AARON
101000000010366,HOTEL RUGBY LTD,0,1,0.05,INE275F01019,0915-1530|1815-1915:17,2021-07-13,,NSE:HOTELRUGBY-BE,10,10,10366,HOTELRUGBY
10100000001038,FINOLEX CABLES LTD,0,1,0.05,INE235A01022,0915-1530|1815-1915:17,2021-07-13,,NSE:FINCABLES-EQ,10,10,1038,FINCABLES
101000000010397,JAIN IRRIGATION SYSTEMS,0,1,0.05,INE175A01038,0915-1530|1815-1915:17,2021-07-13,,NSE:JISLJALEQS-EQ,10,10,10397,JISLJALEQS
1010000000104,SHARE IND. SECURITIES LTD,0,1,0.05,INE932X01018,0915-1530|1815-1915:17,2021-07-13,,NSE:SHAREINDIA-EQ,10,10,104,SHAREINDIA
101000000010406,STEEL CITY SECURITIES LTD,0,1,0.05,INE395H01011,0915-1530|1815-1915:17,2021-07-13,,NSE:STEELCITY-EQ,10,10,10406,STEELCITY
10100000001041,FINOLEX INDUSTRIES LTD,0,1,0.05,INE183A01024,0915-1530|1815-1915:17,2021-07-13,,NSE:FINPIPE-EQ,10,10,1041,FINPIPE
101000000010415,MUTHOOT CAP SERV LTD,0,1,0.05,INE296G01013,0915-1530|1815-1915:17,2021-07-13,,NSE:MUTHOOTCAP-EQ,10,10,10415,MUTHOOTCAP
10100000001044,AXISAMC - AXISBNKETF,4,1,0.01,INF846K01X63,0915-1530|1815-1915:17,2021-07-13,,NSE:AXISBNKETF-EQ,10,10,1044,AXISBNKETF
101000000010440,LUPIN LIMITED,0,1,0.05,INE326A01037,0915-1530|1815-1915:17,2021-07-13,,NSE:LUPIN-EQ,10,10,10440,LUPIN
101000000010447,UNITED SPIRITS LIMITED,0,1,0.05,INE854D01024,0915-1530|1815-1915:17,2021-07-13,,NSE:MCDOWELL-N-EQ,10,10,10447,MCDOWELL-N
101000000010453,SATIN CREDIT NET LTD,0,1,0.05,INE836B01017,0915-1530|1815-1915:17,2021-07-13,,NSE:SATIN-EQ,10,10,10453,SATIN
101000000010457,ARVIND SMARTSPACES LTD,0,1,0.05,INE034S01021,0915-1530|1815-1915:17,2021-07-13,,NSE:ARVSMART-EQ,10,10,10457,ARVSMART
101000000010473,POWER MECH PROJECTS LTD.,0,1,0.05,INE211R01019,0915-1530|1815-1915:17,2021-07-13,,NSE:POWERMECH-EQ,10,10,10473,POWERMECH
101000000010511,UTIAMC - UTINIFTETF,4,1,0.01,INF789FB1X41,0915-1530|1815-1915:17,2021-07-13,,NSE:UTINIFTETF-EQ,10,10,10511,UTINIFTETF
101000000010515,UTIAMC - UTISENSETF,4,1,0.01,INF789FB1X58,0915-1530|1815-1915:17,2021-07-13,,NSE:UTISENSETF-EQ,10,10,10515,UTISENSETF
101000000010516,FUTURE ENTERPRISES LTD,0,1,0.05,INE623B01027,0915-1530|1815-1915:17,2021-07-13,,NSE:FEL-EQ,10,10,10516,FEL
10100000001053,UFLEX LIMITED,0,1,0.05,INE516A01017,0915-1530|1815-1915:17,2021-07-13,,NSE:UFLEX-EQ,10,10,1053,UFLEX
101000000010534,SHARDA MOTOR INDS LTD,0,1,0.05,INE597I01028,0915-1530|1815-1915:17,2021-07-13,,NSE:SHARDAMOTR-BE,10,10,10534,SHARDAMOTR
101000000010557,NAVKAR CORPORATION LTD.,0,1,0.05,INE278M01019,0915-1530|1815-1915:17,2021-07-13,,NSE:NAVKARCORP-EQ,10,10,10557,NAVKARCORP
101000000010576,NIP IND ETF NIFTY BEES,4,1,0.01,INF204KB14I2,0915-1530|1815-1915:17,2021-07-13,,NSE:NIFTYBEES-EQ,10,10,10576,NIFTYBEES
101000000010577,KRBL LIMITED,0,1,0.05,INE001B01026,0915-1530|1815-1915:17,2021-07-13,,NSE:KRBL-EQ,10,10,10577,KRBL
101000000010578,MPS LIMITED,0,1,0.05,INE943D01017,0915-1530|1815-1915:17,2021-07-13,,NSE:MPSLTD-EQ,10,10,10578,MPSLTD
101000000010579,MARKSANS PHARMA LIMITED,0,1,0.05,INE750C01026,0915-1530|1815-1915:17,2021-07-13,,NSE:MARKSANS-EQ,10,10,10579,MARKSANS
101000000010580,TRANSPORT CORPN OF INDIA,0,1,0.05,INE688A01022,0915-1530|1815-1915:17,2021-07-13,,NSE:TCI-EQ,10,10,10580,TCI
101000000010588,SHRE PUSH CHEM & FERT LTD,0,1,0.05,INE712K01011,0915-1530|1815-1915:17,2021-07-13,,NSE:SHREEPUSHK-EQ,10,10,10588,SHREEPUSHK
